Company Name,Ticker
MEMORIES GROUP LIMITED,MEMORIES GROUP LIMITED (SGX:1H4)
MEMTECH INTERNATIONAL LTD.,MEMTECH INTERNATIONAL LTD (SGX:BOL)
MENCAST HOLDINGS LTD.,MENCAST HOLDINGS LTD. (SGX:5NF)
MERCURIUS CAP INVESTMENT LTD,MERCURIUS CAP INVESTMENT LTD (SGX:5RF)
METAL COMPONENT ENGINEERING LIMITED,METAL COMPONENT ENGG LTD (SGX:5DX)
METECH INTERNATIONAL LIMITED,METECH INTERNATIONAL LTD (SGX:V3M)
METRO HOLDINGS LTD,METRO HOLDINGS LIMITED (SGX:M01)
MEWAH INTERNATIONAL INC.,MEWAH INTERNATIONAL INC. (SGX:MV4)
MIDAS HOLDINGS LIMITED,MIDAS HLDGS LIMITED (SGX:5EN)
MINDCHAMPS PRESCHOOL LIMITED ,MINDCHAMPS PRESCHOOL LIMITED (SGX:CNE)
MIRACH ENERGY LIMITED,MIRACH ENERGY LIMITED (SGX:AWO)
MIYOSHI LIMITED,MIYOSHI LIMITED (SGX:M03)
MM2 ASIA LTD.,MM2 ASIA LTD. (SGX:1B0)
MMP RESOURCES LIMITED,MMP RESOURCES LIMITED (SGX:F3V)
MONEYMAX FINANCIAL SERVICES LTD.,MONEYMAX FINANCIAL SERVICESLTD (SGX:5WJ)
MOYA HOLDINGS ASIA LIMITED,MOYA HOLDINGS ASIA LIMITED (SGX:5WE)
MS HOLDINGS LIMITED,MS HOLDINGS LIMITED (SGX:40U)
MUN SIONG ENGINEERING LIMITED,MUN SIONG ENGINEERING LIMITED (SGX:MF6)
MYP LTD.,MYP LTD. (SGX:F86)
NAM CHEONG LIMITED,NAM CHEONG LIMITED (SGX:N4E)
NAM LEE PRESSED METAL INDUSTRIES LIMITED,NAM LEE PRESSED METAL INDS LTD (SGX:G0I)
NATURAL COOL HOLDINGS LIMITED,NATURAL COOL HOLDINGS LIMITED (SGX:5IF)
NAUTICAWT LIMITED,NAUTICAWT LIMITED (SGX:42D)
NEW SILKROUTES GROUP LIMITED,NEW SILKROUTES GROUP LIMITED (SGX:BMT)
NEW TOYO INTERNATIONAL HOLDINGS LTD,NEW TOYO INT HLDGS LTD (SGX:N08)
NEW WAVE HOLDINGS LTD.,NEW WAVE HOLDINGS LTD. (SGX:5FX)
NGSC LIMITED,NGSC LIMITED (SGX:B07)
NICO STEEL HOLDINGS LIMITED,NICO STEEL HOLDINGS LIMITED (SGX:5GF)
